,Valores_Validos,Valores_Nulos,Porcentaje_Nulo (%)
SG.TIM.UWRK.FE,66,17358,99.62
SI.POV.MPUN,109,17315,99.37
SG.VAW.REAS.ZS,200,17224,98.85
SL.TLF.0714.ZS,281,17143,98.39
IC.FRM.CRDC.FL.ZS,324,17100,98.14
SE.LPV.PRIM,382,17042,97.81
per_sa_allsa.adq_pop_tot,479,16945,97.25
IC.FRM.CMPU.ZS,520,16904,97.02
IC.FRM.BRIB.ZS,530,16894,96.96
IC.FRM.DURS,534,16890,96.94
per_allsp.ben_q1_tot,544,16880,96.88
per_sa_allsa.cov_q1_tot,565,16859,96.76
per_allsp.cov_pop_tot,610,16814,96.5
VC.IDP.NWCV,677,16747,96.11
SI.RMT.COST.IB.ZS,780,16644,95.52
FX.OWN.TOTL.ZS,804,16620,95.39
SI.POV.NAHC,1172,16252,93.27
SH_UHC_FH40_PUSHED,1262,16162,92.76
VC.BTL.DETH,1493,15931,91.43
GC.DOD.TOTL.GD.ZS,1798,15626,89.68
SM.POP.TOTL.ZS,2104,15320,87.92
FB.AST.NPER.ZS,2357,15067,86.47
VC.IDP.NWDS,2369,15055,86.4
EN.POP.SLUM.UR.ZS,2423,15001,86.09
IQ.CPA.PROT.XQ,2448,14976,85.95
IQ.CPA.SOCI.XQ,2451,14973,85.93
IQ.CPA.TRAN.XQ,2456,14968,85.9
DT.ODA.ODAT.XP.ZS,2658,14766,84.75
SE.ADT.LITR.ZS,2804,14620,83.91
SL.TLF.BASC.ZS,2847,14577,83.66
SI.POV.UMIC.GP,2968,14456,82.97
SM.POP.FDIP,3549,13875,79.63
IC.BUS.NDNS.ZS,3642,13782,79.1
IT.NET.SECR.P6,3898,13526,77.63
GC.REV.SOCL.ZS,3947,13477,77.35
VC.IHR.PSRC.P5,4414,13010,74.67
GC.XPN.TRFT.ZS,4518,12906,74.07
ST.INT.RCPT.XP.ZS,4702,12722,73.01
SE.PRM.UNER.ZS,4748,12676,72.75
SL.UEM.NEET.ME.ZS,4900,12524,71.88
SN.ITK.DEFC.ZS,4912,12512,71.81
TX.MNF.TECH.ZS.UN,5048,12376,71.03
GOV_WGI_GE_SC,5142,12282,70.49
GOV_WGI_CC_SC,5175,12249,70.3
GOV_WGI_PV_SC,5229,12195,69.99
GOV_WGI_RL_SC,5270,12154,69.75
IT.NET.BBND.P2,5319,12105,69.47
GC.XPN.INTP.RV.ZS,5590,11834,67.92
GC.TAX.TOTL.GD.ZS,5688,11736,67.36
SH.XPD.OOPC.CH.ZS,5692,11732,67.33
SE.XPD.TOTL.GB.ZS,5739,11685,67.06
SH_UHC_SCI,5760,11664,66.94
MS.MIL.XPND.ZS,5814,11610,66.63
DT.DOD.DECT.GN.ZS,6161,11263,64.64
DT.DOD.DSTC.IR.ZS,6161,11263,64.64
ER.H2O.FWST.ZS,6200,11224,64.42
SG.GEN.PARL.ZS,6573,10851,62.28
IT.NET.USER.ZS,6896,10528,60.42
FI.RES.TOTL.DT.ZS,6916,10508,60.31
DT.TDS.DECT.GN.ZS,7072,10352,59.41
SL.GDP.PCAP.EM.KD,7764,9660,55.44
DT.ODA.ODAT.GI.ZS,7922,9502,54.53
SE.PRM.ENRL.TC.ZS,8068,9356,53.7
EG.ELC.ACCS.ZS,8097,9327,53.53
SL.AGR.EMPL.ZS,8176,9248,53.08
SL.EMP.TOTL.SP.ZS,8176,9248,53.08
SL.EMP.VULN.ZS,8176,9248,53.08
SL.UEM.1524.ZS,8176,9248,53.08
SL.UEM.TOTL.ZS,8176,9248,53.08
SL.TLF.CACT.FM.ZS,8410,9014,51.73
SL.TLF.ACTI.ZS,8410,9014,51.73
FI.RES.TOTL.MO,9251,8173,46.91
SH.STA.MMRT,9399,8025,46.06
TX.VAL.TRVL.ZS.WT,9479,7945,45.6
TX.VAL.FUEL.ZS.UN,9494,7930,45.51
TX.VAL.MMTL.ZS.UN,9811,7613,43.69
TM.VAL.FOOD.ZS.UN,10002,7422,42.6
SM.POP.RHCR.EO,10122,7302,41.91
DT.ODA.ODAT.GN.ZS,10189,7235,41.52
NE.CON.GOVT.ZS,11062,6362,36.51
NY.GDS.TOTL.ZS,11119,6305,36.19
NV.AGR.TOTL.ZS,11367,6057,34.76
FP.CPI.TOTL.ZG,11472,5952,34.16
NY.GDP.TOTL.RT.ZS,11660,5764,33.08
IT.CEL.SETS.P2,13017,4407,25.29
SH.DYN.MORT,13506,3918,22.49
NY.GDP.PCAP.KD.ZG,14323,3101,17.8
SP.ADO.TFRT,17160,264,1.52
SM.POP.NETM,17424,0,0.0
SP.POP.65UP.TO.ZS,17424,0,0.0
SP.POP.0014.TO.ZS,17424,0,0.0
